	2019-nCoV	Adenovirus	Andes_virus	Parvovirus_B19	Bunyamwera_virus	Crimean-Congo_hemorrhagic_fever_virus	Chikungunya_virus	Cytomegalovirus	Dengue_virus	Ebola_virus	Epstein-Barr_virus	Echovirus_1	Influenza_A_virus	Influenza_B_virus	Influenza_C_virus	Human_Astrovirus	Hepatitis_A_virus	Hepatitis_B_virus	Human_coronavirus_strain_229E	Human_coronavirus_strain_NL63	Human_coronavirus_OC43	Hepatitis_C_virus	Hepatitis_D_virus	Hendra_virus	Hepatitis_E_virus	Enterovirus_A	Enterovirus_B	Enterovirus_C	Enterovirus_D	Enterovirus_J	Human_herpesvirus_6	Human_herpesvirus_7	Human_immunodeficiency_virus_1	Human_immunodeficiency_virus_2	Human_metapneumovirus	Human_parainfluenza_virus_1	Human_papillomavirus	Human_rhinovirus_A	Human_rhinovirus_B	Herpes_simplex_virus_1	Hantavirus	Japanese_encephalitis_virus	Kunjin_virus	Lassa_virus	Mammarenavirus_lymphocytic_choriomeningitis_virus	Marburg_virus	Molluscum_contagiosum_virus	Middle_East_respiratory_syndrome_coronavirus	Measles_virus	Nipah_virus	Norovirus	Parechovirus_A3	Powassan_virus	Rabies_virus	Ravn_virus	Ross_River_virus	Respiratory_syncytial_virus	Rubella_virus	Rift_Valley_fever_virus	Saffold_virus	Severe_acute_respiratory_syndrome_coronavirus	Severe_fever_with_thrombocytopenia_syndrome_virus	Sindbis_virus	Tick-borne_encephalitis_virus	Vaccinia_virus	Vesicular_stomatitis_virus	West_Nile_virus	Yellow_fever_virus	Zika_virus
Powassan_virus	0.17787619	0.18165882	0.18622371	0.18102216	0.17963636	0.19070025	0.18617954	0.18442661	0.31271542	0.1789833	0.18617954	0.18353999	0.1994874	0.19721284	0.197463	0.18699545	0.18531967	0.18435912	0.18175108	0.17326322	0.17418581	0.19272841	0.20095125	0.17593874	0.1810481	0.18076352	0.18448439	0.19018817	0.19296346	0.18105434	0.18073623	0.17353999	0.17656029	0.19847476	0.17842974	0.18350401	0.18484383	0.17752557	0.17702553	0.17972138	0.18063145	0.36626995	0.18470339	0.19929453	0.18562874	0.17630778	0.1848879	0.17538518	0.1799059	0.18092075	0.18752392	0.18236255	1	0.18248916	0.17630778	0.18368853	0.17197158	0.17824216	0.1978451	0.17547751	0.18036719	0.19904077	0.19475966	0.62109051	0.17178707	0.1828582	0.31488145	0.34883292	0.32235381
Rabies_virus	0.18706001	0.17398592	0.19125267	0.18566833	0.18778182	0.19284278	0.19271098	0.17457258	0.18621332	0.18630573	0.17826014	0.18871781	0.20205041	0.19679054	0.21014799	0.18816968	0.18480093	0.1863354	0.18152866	0.18622192	0.18655716	0.17366392	0.19084423	0.19032853	0.1781766	0.18588965	0.18205163	0.18642473	0.1864682	0.1828161	0.18546765	0.19016091	0.18178848	0.18322232	0.18923902	0.19074757	0.18420379	0.18607258	0.18923418	0.16426416	0.19080146	0.18084913	0.18052296	0.20076426	0.19221557	0.18605431	0.17013074	0.18437814	0.18261817	0.18672477	0.18012502	0.1846761	0.18248916	1	0.18471338	0.17851934	0.18831713	0.15488629	0.19534666	0.18434997	0.18027154	0.186251	0.17681012	0.17987613	0.1849648	0.25192759	0.18841237	0.19029645	0.18782383
Ravn_virus	0.19504028	0.17369467	0.19765315	0.1924589	0.20523636	0.19540799	0.17740572	0.17364236	0.18313926	0.2635089	0.17175892	0.19307808	0.20034173	0.20650338	0.21226216	0.19653603	0.18921022	0.19932242	0.19184891	0.19399393	0.19095951	0.16324617	0.18668252	0.1997916	0.16539842	0.19209497	0.18488985	0.19274194	0.19350474	0.20084022	0.19179659	0.20226012	0.19387866	0.19335843	0.20224719	0.19891026	0.1953405	0.1947597	0.19145394	0.14847756	0.19945355	0.17957362	0.18128074	0.19312169	0.19625749	0.99989536	0.15789474	0.18766349	0.18633429	0.20409953	0.16851639	0.19637997	0.17630778	0.18471338	1	0.16745303	0.20143506	0.14556443	0.19097439	0.1948244	0.19075024	0.19120703	0.17850777	0.17260569	0.19660981	0.18511935	0.17979871	0.17998527	0.17783124
Ross_River_virus	0.18109291	0.17843356	0.18469979	0.19031451	0.17672727	0.17414429	0.54962683	0.17946298	0.18919422	0.17620314	0.17723256	0.18026979	0.19692439	0.19256757	0.19704017	0.18567445	0.17714953	0.17391304	0.17929141	0.17448743	0.17079866	0.18335243	0.21640904	0.17594578	0.1747308	0.18602455	0.18691715	0.19193548	0.18186739	0.18376474	0.1816934	0.17628893	0.18886831	0.18322232	0.17980613	0.17843356	0.17933948	0.18228948	0.18867925	0.18375225	0.18199757	0.1875	0.17731835	0.18606702	0.17934132	0.16753882	0.1799777	0.17268594	0.17723256	0.1723428	0.18216609	0.17868808	0.18368853	0.17851934	0.16745303	1	0.17783306	0.17906167	0.18332292	0.17399877	0.18109291	0.18577138	0.33945269	0.18149179	0.17500214	0.17911984	0.18333484	0.18274719	0.18042191
Respiratory_syncytial_virus	0.19998683	0.16779672	0.20710149	0.19853467	0.21687273	0.20564916	0.1799425	0.17437957	0.18770377	0.18886183	0.17279968	0.20506881	0.22639897	0.22001689	0.22579281	0.19771026	0.19569446	0.19621683	0.20110592	0.19465473	0.19959186	0.15501615	0.1706302	0.21374498	0.15778894	0.18143801	0.19029599	0.20120968	0.20027064	0.20463477	0.19919689	0.21315252	0.20172095	0.19229655	0.29737828	0.2174972	0.20135689	0.20961188	0.20602109	0.14337437	0.21812386	0.18012026	0.18668949	0.20487948	0.19805389	0.20143506	0.15647423	0.19031005	0.18445132	0.20755711	0.16609261	0.20821992	0.17197158	0.18831713	0.20143506	0.17783306	1	0.14914976	0.19347283	0.19445471	0.19518136	0.18177458	0.17986589	0.17493941	0.20999276	0.19577381	0.17517454	0.17924876	0.18014434
Rubella_virus	0.14812538	0.20129072	0.13913441	0.15850608	0.13861818	0.16072526	0.18612989	0.21737349	0.16482278	0.17557877	0.21051014	0.15111051	0.17855617	0.16047297	0.15052854	0.15808014	0.15886396	0.17673631	0.14730588	0.13993034	0.14341323	0.20325034	0.20630202	0.1535546	0.2063173	0.17347902	0.16934721	0.16142473	0.16251691	0.16059087	0.19791026	0.18664208	0.1533602	0.1586765	0.15693505	0.14535956	0.13940092	0.14922236	0.15233074	0.23714403	0.13964784	0.17271051	0.182647	0.17430923	0.1511976	0.14566687	0.22136857	0.15498873	0.17988117	0.14740832	0.19760173	0.14861187	0.17824216	0.15488629	0.14556443	0.17906167	0.14914976	1	0.16630231	0.17264325	0.15959844	0.17090328	0.1907396	0.1775251	0.14515468	0.15990576	0.17363245	0.1761934	0.17496415
Rift_Valley_fever_virus	0.19394129	0.17723298	0.19284822	0.18924232	0.1945659	0.18894441	0.18769519	0.17801374	0.19269207	0.19440974	0.18519675	0.19237976	0.19777873	0.19552365	0.21437632	0.18285447	0.20252967	0.18492377	0.191599	0.19378513	0.19269207	0.18051218	0.20154578	0.19612742	0.18019988	0.20284197	0.1850406	0.19003748	0.19237976	0.18816365	0.18816365	0.19722049	0.19081824	0.18785134	0.20003123	0.19659588	0.18753904	0.20190506	0.18785134	0.16739538	0.19846971	0.191599	0.18550906	0.1984127	0.21314803	0.19081824	0.17083073	0.18878826	0.19440974	0.19643973	0.17676452	0.19222361	0.1978451	0.19534666	0.19097439	0.18332292	0.19347283	0.16630231	1	0.18941287	0.19503435	0.30007994	0.18488445	0.18566521	0.19269207	0.19581512	0.19034978	0.19081824	0.19144285
Saffold_virus	0.19408503	0.18336414	0.20451082	0.18834882	0.20669091	0.19593346	0.17954405	0.17424522	0.18262477	0.18496611	0.17979051	0.21338057	0.2007689	0.20523649	0.20972516	0.19257302	0.2073661	0.19508752	0.19211337	0.19063463	0.19260628	0.17375231	0.19619501	0.19260628	0.1793252	0.21651153	0.22922016	0.21303763	0.22787551	0.22672449	0.19778189	0.195687	0.18089957	0.19001848	0.19371534	0.18890943	0.17613927	0.21283452	0.23945616	0.16598891	0.19156041	0.17781885	0.18890943	0.19635509	0.19356287	0.1948244	0.16746765	0.18496611	0.18977203	0.18730746	0.17106774	0.22223734	0.17547751	0.18434997	0.1948244	0.17399877	0.19445471	0.17264325	0.18941287	1	0.19433148	0.17729816	0.17905114	0.18903266	0.18767714	0.18977203	0.18176217	0.18669131	0.1758472
Severe_acute_respiratory_syndrome_coronavirus	0.69211119	0.17401096	0.19750076	0.1913867	0.20290909	0.19317806	0.17740572	0.17011193	0.18360503	0.18248175	0.17101946	0.19771086	0.20461341	0.21199324	0.2012685	0.19286658	0.19660226	0.20355731	0.27742289	0.27811854	0.29767067	0.17064278	0.17360285	0.19299112	0.17085427	0.18481047	0.18488985	0.19126344	0.19012179	0.19812983	0.18580888	0.19414473	0.18963076	0.1848634	0.19370787	0.19262821	0.19713262	0.20008407	0.1936737	0.15367551	0.20598057	0.18458455	0.18006117	0.19929453	0.20179641	0.19075024	0.16258277	0.31612383	0.18214969	0.19105557	0.17680827	0.20127926	0.18036719	0.18027154	0.19075024	0.18109291	0.19518136	0.15959844	0.19503435	0.19433148	1	0.18848921	0.17961124	0.18256889	0.19118685	0.18410361	0.1846949	0.18523292	0.18143967
Severe_fever_with_thrombocytopenia_syndrome_virus	0.18529177	0.18193445	0.19232614	0.18406004	0.19168665	0.19680256	0.18257394	0.1764988	0.19936051	0.19040767	0.18944844	0.19232614	0.20290474	0.20777027	0.194926	0.19184652	0.19088729	0.18887634	0.19344524	0.18353317	0.18433253	0.19152678	0.20630202	0.18609113	0.17857714	0.18593125	0.19200639	0.18673062	0.20175859	0.18481215	0.18417266	0.18097522	0.19392486	0.19568345	0.18816946	0.18896882	0.18017586	0.18545164	0.19264588	0.17713829	0.19808153	0.18465228	0.18305356	0.19165197	0.20191847	0.19088729	0.17713829	0.18577138	0.19376499	0.1942446	0.19008793	0.18928857	0.19904077	0.186251	0.19120703	0.18577138	0.18177458	0.17090328	0.30007994	0.17729816	0.18848921	1	0.18449241	0.20351719	0.18033573	0.19440448	0.20191847	0.19792166	0.18896882
Sindbis_virus	0.1774043	0.176895	0.17951844	0.18298785	0.18094545	0.17944147	0.33002292	0.18402513	0.18006521	0.176895	0.1788473	0.18531135	0.19094404	0.19214527	0.20084567	0.1812711	0.17896511	0.17927724	0.17477294	0.16849164	0.16730328	0.1849151	0.20332937	0.17655547	0.17961235	0.18561986	0.17475335	0.18575269	0.18051421	0.18823689	0.17808335	0.175452	0.18451149	0.19876436	0.18046006	0.17969612	0.171915	0.1843912	0.1872919	0.18343095	0.18412265	0.17529155	0.18071471	0.18900647	0.18158683	0.17842288	0.18275189	0.17451829	0.1831763	0.17952636	0.18586554	0.17855199	0.19475966	0.17681012	0.17850777	0.33945269	0.17986589	0.1907396	0.18488445	0.17905114	0.17961124	0.18449241	1	0.18149179	0.17748918	0.17596129	0.1892284	0.1834837	0.18106958
Tick-borne_encephalitis_virus	0.17817072	0.18454358	0.1761658	0.19442459	0.17629091	0.18149179	0.18140203	0.18930078	0.31197019	0.17781169	0.18849295	0.18108734	0.19564289	0.19763514	0.19323467	0.18435344	0.1833744	0.19113495	0.17341352	0.17484965	0.17197738	0.18606105	0.20749108	0.17619603	0.18750897	0.1896668	0.18556562	0.18494624	0.18836265	0.1834937	0.17763217	0.17404183	0.18178848	0.1848634	0.17808096	0.16973342	0.18177163	0.18859465	0.18784684	0.18615923	0.18427444	0.34912536	0.17718338	0.1845973	0.18203593	0.17260569	0.18140203	0.17736289	0.1816713	0.18185082	0.19275418	0.18644529	0.62109051	0.17987613	0.17260569	0.18149179	0.17493941	0.1775251	0.18566521	0.18903266	0.18256889	0.20351719	0.18149179	1	0.168028	0.18355623	0.31952126	0.35665623	0.34594745
Vaccinia_virus	0.19141892	0.15733601	0.20466321	0.19567548	0.21745455	0.19639907	0.18146457	0.14677137	0.18276665	0.1798036	0.14955083	0.20125358	0.20247757	0.22043919	0.22706131	0.19668281	0.19063675	0.20807453	0.19189633	0.2012848	0.19446342	0.15918325	0.19322235	0.19611714	0.16582915	0.18400108	0.18259224	0.19099462	0.1879567	0.20178886	0.18211259	0.19301019	0.19420542	0.18727676	0.20509363	0.20096154	0.20135689	0.20540843	0.19658713	0.13389655	0.20765027	0.17319606	0.17637222	0.20340976	0.20359281	0.19660981	0.14142699	0.1871077	0.17814443	0.19856407	0.16762342	0.19515514	0.17178707	0.1849648	0.19660981	0.17500214	0.20999276	0.14515468	0.19269207	0.18767714	0.19118685	0.18033573	0.17748918	0.168028	1	0.18638903	0.17535588	0.17869637	0.17301999
Vesicular_stomatitis_virus	0.18308786	0.17445404	0.19719598	0.1915654	0.20029091	0.18888338	0.17765939	0.17324784	0.18453656	0.18556374	0.1738192	0.19212427	0.20034173	0.20692568	0.21353066	0.18919712	0.19530541	0.19847544	0.18518283	0.18238954	0.18353225	0.16782998	0.20214031	0.18473845	0.1707107	0.18642925	0.18516016	0.1891129	0.19147497	0.18688169	0.18753174	0.19470543	0.31565189	0.19828169	0.19011236	0.19230769	0.18919611	0.20008407	0.19561598	0.1627095	0.19641773	0.1863156	0.1817547	0.19664903	0.19461078	0.18664297	0.17623159	0.18397664	0.1805485	0.19070594	0.17259855	0.19093631	0.1828582	0.25192759	0.18511935	0.17911984	0.19577381	0.15990576	0.19581512	0.18977203	0.18410361	0.19440448	0.17596129	0.18355623	0.18638903	1	0.1856016	0.18412815	0.17792376
West_Nile_virus	0.17934536	0.17871067	0.18165194	0.18048606	0.18050909	0.18242814	0.19040711	0.18124943	0.35174662	0.18569227	0.18424155	0.18299496	0.1888082	0.2027027	0.20211416	0.18538089	0.18726495	0.18718238	0.17925469	0.17807598	0.17580923	0.1798104	0.19916766	0.1804334	0.18176597	0.18845272	0.19124206	0.18198925	0.18322057	0.1841713	0.18170278	0.18324417	0.18777911	0.18341539	0.18124943	0.18034273	0.1734511	0.18228948	0.18188124	0.17580923	0.18533698	0.62044461	0.18115876	0.19811875	0.18727545	0.1795267	0.18143077	0.18079608	0.1892284	0.18279082	0.18395203	0.18181818	0.31488145	0.18841237	0.17979871	0.18333484	0.17517454	0.17363245	0.19034978	0.18176217	0.1846949	0.20191847	0.1892284	0.31952126	0.17535588	0.1856016	1	0.37580556	0.40349741
Yellow_fever_virus	0.18504879	0.18136623	0.19506248	0.18959971	0.18996364	0.1873504	0.18633769	0.18026146	0.3510014	0.18514086	0.17823605	0.18667393	0.19564289	0.21114865	0.20042283	0.19125202	0.18376345	0.19480519	0.18145829	0.17989321	0.18007733	0.17783102	0.19560048	0.18560118	0.18348887	0.18481047	0.18718746	0.18736559	0.18403248	0.19230248	0.182471	0.17621064	0.19104673	0.18438073	0.18155036	0.18201068	0.17076293	0.19700154	0.18812431	0.17455349	0.19064967	0.38676119	0.1811821	0.19312169	0.18862275	0.1801694	0.1778678	0.18311545	0.1870742	0.18624563	0.18663095	0.18290691	0.34883292	0.19029645	0.17998527	0.18274719	0.17924876	0.1761934	0.19081824	0.18669131	0.18523292	0.19792166	0.1834837	0.35665623	0.17869637	0.18412815	0.37580556	1	0.38721318
Zika_virus	0.18208734	0.18032939	0.19170984	0.18620443	0.1888	0.18745374	0.17977424	0.18532568	0.41332091	0.18245744	0.18911917	0.18108734	0.19436138	0.20777027	0.20465116	0.18699545	0.18039165	0.18972332	0.1792191	0.17709104	0.17968172	0.18106053	0.1979786	0.18791636	0.17903805	0.1896668	0.18421408	0.18212366	0.18335589	0.18362922	0.17505551	0.17986677	0.18113495	0.18534608	0.1865285	0.18162472	0.17434716	0.18649292	0.17924528	0.18162472	0.18063145	0.39091414	0.18162472	0.19077014	0.18997006	0.17718357	0.17875648	0.18143967	0.18005181	0.18569578	0.18344177	0.18549265	0.32235381	0.18782383	0.17783124	0.18042191	0.18014434	0.17496415	0.19144285	0.1758472	0.18143967	0.18896882	0.18106958	0.34594745	0.17301999	0.17792376	0.40349741	0.38721318	1
